net,length_um
net985,1.353415mm
_08068_,1.13503mm
net372,1.09429mm
net167,1.017245mm
clknet_0_clkA,1.007585mm
net948,978.38µm
net917,945.43µm
net126,928.45µm
net129,912.41µm
net905,904.57µm
net558,902.135µm
net205,894.39µm
_07973_,851.585µm
_07971_,849.875µm
clkA,838.53µm
net163,811.565µm
_08494_,808.4µm
net936,805.34µm
net127,796.11µm
net91,794.62µm
net417,771.175µm
u_FIR.x_reg\[4\],766.775µm
net273,765.405µm
_03357_,760.05µm
net892,759.03µm
net260,756µm
net1050,720.85µm
net419,719.95µm
net241,711.4µm
net147,710.925µm
net564,709.995µm
net245,690.995µm
net164,680.365µm
net328,669.085µm
net466,668.155µm
net203,665.64µm
net180,662.4µm
net418,660.705µm
net390,657.605µm
net166,656.22µm
_08102_,653.665µm
net261,647.32µm
clknet_4_0__leaf_clkA,642.805µm
clknet_4_4__leaf_clkA,642.72µm
net162,638.53µm
net183,634.2µm
clknet_2_2_0_clkA,629.66µm
clknet_2_3_0_clkA,626.265µm
net243,600.285µm
_03384_,585.08µm
_03353_,584.05µm
clknet_2_1_0_clkA,570.63µm
_07986_,567.035µm
net258,561.29µm
net704,555.025µm
net821,554.395µm
net222,549.68µm
u_FIR.x_reg\[6\],549.425µm
u_FIR.x_reg\[5\],547.32µm
clknet_2_0_0_clkA,546.93µm
net389,540.72µm
net165,539.21µm
clknet_4_15__leaf_clkA,535.675µm
_07725_,534.51µm
net423,532.32µm
u_FIR.x_reg\[3\],520.33µm
net450,519.14µm
clknet_4_5__leaf_clkA,518.54µm
net552,517.725µm
net112,514.15µm
net850,511.465µm
net144,511.105µm
net231,509.935µm
net128,508.115µm
net146,505.475µm
_01657_,502.145µm
net242,499.805µm
net272,497.68µm
_07884_,496.3µm
_07721_,495.55µm
net416,490.255µm
_07717_,488.37µm
_07715_,487.325µm
net101,485.9µm
net201,484.6µm
_07916_,484.5µm
net829,483.135µm
net1017,482.72µm
net139,481.385µm
_03296_,481.15µm
net103,480.68µm
net1,480.085µm
net371,479.9µm
net173,475.485µm
net904,475.035µm
_07719_,471.98µm
_08101_,470.32µm
_07876_,470.28µm
net365,469.705µm
net141,469.17µm
net373,468.975µm
net471,468.445µm
net836,466.41µm
net863,464.43µm
_07723_,463.775µm
_07882_,462.195µm
_08554_,459.84µm
net142,457.965µm
net96,457.36µm
net916,455.89µm
u_LMS.x_r\[1\]\[1\],455.125µm
spi_sclk,454.52µm
net274,454.155µm
_07974_,452.155µm
net252,451.3µm
clknet_4_10__leaf_clkA,450.235µm
net214,446.655µm
net477,445.295µm
net133,443.475µm
net94,443.205µm
_08500_,442.56µm
_03223_,441.68µm
net912,441.67µm
net184,438.43µm
net202,435.58µm
net473,434.555µm
_07966_,433.33µm
net901,432.185µm
net136,430.455µm
_07972_,429.54µm
net368,428.66µm
_07874_,426.425µm
net92,426.07µm
_07880_,425.63µm
clknet_4_11__leaf_clkA,425.035µm
net1016,421.455µm
net185,421.44µm
net557,420.915µm
net234,419.94µm
u_FIR.sum\[8\]\[18\],419.83µm
clknet_4_14__leaf_clkA,419.56µm
net448,419.405µm
net116,418.425µm
net100,417.49µm
net503,417µm
net542,416.425µm
net843,415.425µm
net51,414.69µm
net479,412.905µm
net35,410.67µm
_03308_,406.945µm
net1042,404.77µm
clknet_4_2__leaf_clkA,404.625µm
net195,404.3µm
net99,402.005µm
_07929_,401.14µm
coeff_force_packed\[48\],400.805µm
_07878_,400.09µm
net1041,399.09µm
clknet_4_1__leaf_clkA,398.53µm
net216,397.505µm
net181,396.9µm
_03315_,393.86µm
net903,392.635µm
net200,392.55µm
_08501_,391.79µm
net97,391.54µm
_09584_,388.015µm
net87,386.82µm
net160,384.335µm
net388,383.725µm
net265,383.425µm
_03226_,381.695µm
net878,381.46µm
_03258_,380.915µm
net811,380.295µm
net2,377.65µm
net984,375.73µm
_09702_,375.605µm
_01624_,375.465µm
net383,374.185µm
net377,371.825µm
net361,369.68µm
net89,369.4µm
_09643_,368.34µm
net98,368.24µm
net204,366.08µm
net106,365.84µm
net941,365.725µm
_02216_,365.52µm
net481,365.37µm
net873,365.22µm
net95,364.425µm
net367,363.23µm
net182,363.005µm
u_LMS.x_r\[1\]\[2\],360.395µm
net465,356.51µm
clknet_4_3__leaf_clkA,354.75µm
net140,353.27µm
clknet_4_8__leaf_clkA,350.085µm
net3,349.88µm
_07975_,349.185µm
net738,348.26µm
net896,347.315µm
net522,347.275µm
_03324_,345.875µm
_03276_,345.31µm
net257,342.59µm
_08492_,340.45µm
net83,340.015µm
net474,337.82µm
_01559_,337.04µm
net430,336.78µm
_01571_,335.425µm
net53,334.995µm
net814,334.28µm
net381,334.025µm
net956,334µm
_07915_,333.98µm
net791,333.915µm
net90,333.785µm
u_spi_slave.tx_shift\[15\],333.74µm
net379,333.59µm
net421,330.595µm
_08493_,329.37µm
_01577_,329.36µm
net970,328.835µm
u_FIR.w\[1\]\[6\],328.08µm
net102,328.015µm
net723,326.855µm
u_LMS.w\[2\]\[24\],326.745µm
net1049,325.915µm
_07799_,325.815µm
net299,325.175µm
net890,324.875µm
net482,324.72µm
net104,324.045µm
net157,323.415µm
clknet_leaf_38_clkA,322.66µm
net980,322.365µm
net475,321.75µm
net871,321.635µm
net853,321.065µm
net880,320.68µm
net187,319.48µm
net268,318.83µm
net651,317.825µm
net935,317.55µm
net636,316.62µm
coeff_force_packed\[42\],316.535µm
_01579_,316.515µm
net213,315.23µm
net80,314.08µm
net885,313.745µm
net972,312.89µm
net907,312.2µm
_01574_,312.07µm
net1003,311.59µm
net957,311.29µm
net218,311.05µm
_03278_,310.35µm
_03060_,309.86µm
net130,309.365µm
net134,309.1µm
net908,308.135µm
net801,307.545µm
net156,306.99µm
_03404_,306.905µm
_01660_,304.675µm
net109,304.63µm
net111,304.18µm
_00976_,303.97µm
net161,303.39µm
_09678_,302.9µm
net208,301.905µm
net108,301.825µm
net267,301.03µm
net329,300.97µm
net362,300.625µm
net845,298.875µm
net176,298.275µm
_02251_,297.97µm
u_FIR.w\[1\]\[4\],296.68µm
_03252_,295.61µm
net117,295.51µm
_00978_,294.08µm
net293,293.76µm
net792,293.485µm
net838,292.78µm
net652,292.015µm
net191,291.595µm
_07862_,291.19µm
_01031_,290.19µm
_03416_,289.89µm
net1046,289.525µm
net512,289.16µm
_00983_,288.42µm
_03228_,288.185µm
_01567_,287.925µm
_02168_,287.61µm
_07741_,287.535µm
_07892_,287.47µm
net1010,287.425µm
net881,287.285µm
net196,286.925µm
net251,286.825µm
net250,286.045µm
_02811_,285.965µm
_09593_,285.555µm
_09591_,285.27µm
_09596_,285.07µm
net971,284.375µm
net1040,283.87µm
_10292_,283.645µm
clknet_4_12__leaf_clkA,282.73µm
_09598_,282.44µm
_00974_,282.38µm
net895,281.83µm
net800,281.27µm
_03224_,280.81µm
net716,280.435µm
net947,280.045µm
_01659_,279.775µm
net865,279.72µm
net49,279.225µm
_03277_,278.875µm
_03434_,278.665µm
net179,278.63µm
net840,278.515µm
net810,278.035µm
net862,277.42µm
_09680_,276.955µm
clknet_4_7__leaf_clkA,276.77µm
net211,276.01µm
net990,275.96µm
_09587_,275.77µm
net254,275.755µm
_07801_,275.335µm
net603,275.175µm
_00980_,275.11µm
clknet_leaf_44_clkA,274.665µm
net541,274.34µm
net317,274.03µm
clknet_4_13__leaf_clkA,273.59µm
u_LMS.w\[7\]\[24\],273.15µm
u_LMS.x_r\[5\]\[5\],273.075µm
_02163_,272.7µm
clknet_leaf_8_clkA,272.44µm
net855,272.05µm
net868,272µm
_09589_,271.625µm
net891,270.965µm
net883,270.1µm
net783,269.945µm
u_FIR.w\[0\]\[4\],269.83µm
_07842_,269.11µm
_03405_,268.72µm
net460,268.465µm
net152,268.42µm
_01565_,268.18µm
_07739_,267.96µm
_07913_,267.175µm
clknet_leaf_83_clkA,266.93µm
net886,266.88µm
net861,266.675µm
net637,266.565µm
net860,266.405µm
net698,265.835µm
net428,265.705µm
net376,264.825µm
_02165_,264.67µm
net981,264.655µm
net833,264.63µm
_02170_,264.12µm
net386,263.735µm
net760,263.6µm
net326,263.52µm
net425,263.375µm
net198,263.025µm
net897,262.705µm
net1045,262.645µm
net229,262.635µm
net457,262.62µm
net387,262.315µm
_07805_,262.27µm
net759,262.135µm
u_FIR.w\[0\]\[6\],262.125µm
net632,262.045µm
clknet_leaf_5_clkA,261.985µm
net911,261.83µm
_03233_,261.225µm
net1015,260.145µm
net298,260.1µm
net666,259.95µm
_07864_,259.295µm
_07745_,259.15µm
_03250_,258.465µm
_00971_,257.46µm
net787,256.77µm
net304,256.395µm
net739,256.12µm
clknet_leaf_12_clkA,256.03µm
net565,255.905µm
net848,255.895µm
net944,255.82µm
net898,255.7µm
net940,255.625µm
net879,255.505µm
net1012,255.045µm
clknet_leaf_42_clkA,254.31µm
coeff_force_packed\[41\],254.21µm
_08984_,253.83µm
clknet_0_spi_sclk,253.645µm
_00985_,253.08µm
net614,252.84µm
net856,252.33µm
_03412_,252.18µm
net655,252.135µm
net232,251.82µm
net631,251.43µm
net844,251.39µm
_07743_,250.75µm
u_FIR.w\[2\]\[4\],250.51µm
clknet_leaf_15_clkA,250.31µm
net82,250.225µm
net967,250.2µm
_09067_,250.03µm
net113,249.94µm
net39,249.905µm
net301,249.3µm
net740,249.24µm
clknet_leaf_59_clkA,249.165µm
_08981_,249µm
net295,248.615µm
_07901_,248.565µm
clknet_4_9__leaf_clkA,248.495µm
_03227_,248.195µm
net86,247.85µm
net227,247.79µm
net662,247.69µm
_03400_,247.415µm
net186,247.15µm
net420,246.805µm
_07933_,246.76µm
net135,246.75µm
_09122_,246.305µm
