Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_252_1997,VDD,Metal1,979.2000,979.0200,1.200000
FILLER_252_1993,VDD,Metal1,977.7710,978.4230,1.200000
FILLER_252_1986,VDD,Metal1,975.1290,978.4210,1.200000
FILLER_252_1979,VDD,Metal1,971.7690,978.4210,1.200000
FILLER_252_1972,VDD,Metal1,968.4090,978.4210,1.200000
FILLER_252_1965,VDD,Metal1,965.0490,978.4210,1.200000
FILLER_252_1958,VDD,Metal1,961.6890,978.4210,1.200000
FILLER_252_1951,VDD,Metal1,958.3290,978.4210,1.200000
FILLER_252_1944,VDD,Metal1,954.9690,978.4210,1.200000
FILLER_252_1937,VDD,Metal1,951.6090,978.4210,1.200000
FILLER_252_1930,VDD,Metal1,948.2490,978.4210,1.200000
FILLER_252_1923,VDD,Metal1,944.8890,978.4210,1.200000
FILLER_252_1916,VDD,Metal1,941.5290,978.4210,1.200000
FILLER_252_1909,VDD,Metal1,938.1690,978.4210,1.200000
FILLER_252_1902,VDD,Metal1,934.8090,978.4210,1.200000
FILLER_252_1895,VDD,Metal1,931.4490,978.4210,1.200000
FILLER_252_1888,VDD,Metal1,928.0890,978.4210,1.200000
FILLER_252_1881,VDD,Metal1,924.7290,978.4210,1.200000
FILLER_252_1874,VDD,Metal1,921.3690,978.4210,1.200000
FILLER_252_1867,VDD,Metal1,918.0090,978.4210,1.200000
FILLER_252_1860,VDD,Metal1,914.6490,978.4210,1.200000
FILLER_252_1853,VDD,Metal1,911.2890,978.4210,1.200000
FILLER_252_1846,VDD,Metal1,907.9290,978.4210,1.200000
FILLER_252_1839,VDD,Metal1,904.5690,978.4210,1.200000
FILLER_252_1832,VDD,Metal1,901.2090,978.4210,1.200000
FILLER_252_1825,VDD,Metal1,897.8490,978.4210,1.200000
FILLER_252_1818,VDD,Metal1,894.4890,978.4210,1.200000
FILLER_252_1811,VDD,Metal1,891.1290,978.4210,1.200000
FILLER_252_1804,VDD,Metal1,887.7690,978.4210,1.200000
FILLER_252_1797,VDD,Metal1,884.4090,978.4210,1.200000
FILLER_252_1790,VDD,Metal1,881.0490,978.4210,1.200000
