2026-01-24 19:51:08 +0000: Memory Usage (424648K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/FSE-LMS/design/runs/RUN_2026-01-24_19-32-36/57-magic-streamout/top.gds
2026-01-24 19:51:08 +0000: Memory Usage (424648K) : Ruby Version for klayout: 3.3.10
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : Loading database to memory is complete.
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/FSE-LMS/design/runs/RUN_2026-01-24_19-32-36/64-klayout-drc/reports/drc.klayout.lyrdb
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : Evaluate switches.
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : tables selected: main
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : KLayout will use 16 thread(s) in tiling mode.
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : deep mode is enabled.
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : FEOL enabled: true
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : BEOL enabled: true
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : OFFGRID enabled: true
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : PIN enabled: true
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : FORBIDDEN enabled: true
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : RECOMMENDED enabled: false
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : PreCheck DRC enabled: false
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : CONNECTIVITY_RULES enabled: true.
2026-01-24 19:51:08 +0000: Memory Usage (450376K) : Read in polygons from layers.
2026-01-24 19:51:08 +0000: Memory Usage (452680K) : activ_drw has 123814 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : activ_pin has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : activ_mask has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : activ_filler has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : activ_nofill has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : activ_opc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : activ_iopc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : activ_noqrc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : biwind_drw has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : biwind_opc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453064K) : pemwind_drw has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453192K) : gatpoly_drw has 113322 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453192K) : gatpoly_pin has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453192K) : gatpoly_filler has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453192K) : gatpoly_nofill has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453192K) : gatpoly_opc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453192K) : gatpoly_iopc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453192K) : gatpoly_noqrc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453448K) : cont_drw has 843000 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453448K) : cont_opc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453448K) : nsd_drw has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (453448K) : nsd_block has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (454856K) : metal1_drw has 221275 polygons
2026-01-24 19:51:08 +0000: Memory Usage (454856K) : metal1_pin has 104215 polygons
2026-01-24 19:51:08 +0000: Memory Usage (454856K) : metal1_mask has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (454856K) : metal1_filler has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (454856K) : metal1_nofill has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (454856K) : metal1_slit has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (454984K) : metal1_text has 103159 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : metal1_opc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : metal1_noqrc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : metal1_res has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : metal1_iprobe has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : metal1_diffprb has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : passiv_drw has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : passiv_pin has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : passiv_sbump has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455240K) : passiv_pillar has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (455368K) : passiv_pdl has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_drw has 119726 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_pin has 4 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_mask has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_filler has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_nofill has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_slit has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_text has 10783 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_opc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_noqrc has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_res has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_iprobe has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : metal2_diffprb has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : baspoly_drw has 0 polygons
2026-01-24 19:51:08 +0000: Memory Usage (459080K) : baspoly_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459080K) : psd_drw has 59503 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459080K) : nldb_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459080K) : digibnd_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : via1_drw has 49495 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_mask has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_slit has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_text has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_opc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_noqrc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_res has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_iprobe has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backmetal1_diffprb has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : backpassiv_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : res_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : sram_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : trans_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : ind_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : ind_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : ind_text has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (459848K) : salblock_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461000K) : via2_drw has 42942 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461000K) : metal3_drw has 28543 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_pin has 4 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_mask has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_slit has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_text has 2910 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_opc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461384K) : metal3_noqrc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461512K) : metal3_res has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461512K) : metal3_iprobe has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461640K) : metal3_diffprb has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461896K) : nwell_drw has 29590 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461896K) : nwell_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461896K) : nbulay_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461896K) : nbulay_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (461896K) : nbulay_block has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462024K) : emwind_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462024K) : emwind_opc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462152K) : deepco_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462152K) : deepco_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462280K) : mim_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462280K) : edgeseal_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462408K) : edgeseal_bound has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462408K) : substrate_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462536K) : substrate_text has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462536K) : dfpad_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462664K) : dfpad_pillar has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462664K) : dfpad_sbump has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462792K) : thickgateox_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462792K) : pldb_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462920K) : pwell_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (462920K) : pwell_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463048K) : pwell_block has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463048K) : ic_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463176K) : via3_drw has 7480 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463432K) : metal4_drw has 2550 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463560K) : metal4_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463560K) : metal4_mask has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463688K) : metal4_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463688K) : metal4_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463816K) : metal4_slit has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463816K) : metal4_text has 55 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463944K) : metal4_opc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (463944K) : metal4_noqrc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464072K) : metal4_res has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464072K) : metal4_iprobe has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464200K) : metal4_diffprb has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464200K) : heattrans_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464328K) : heatres_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464328K) : pempoly_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464456K) : fbe_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464456K) : empoly_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464584K) : ldmos_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464584K) : pbiwind_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464712K) : digisub_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (464712K) : nodrc_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : text_drw has 20 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : via4_drw has 5351 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_drw has 1137 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_mask has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_slit has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_text has 2 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_opc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_noqrc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_res has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_iprobe has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : metal5_diffprb has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : radhard_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : memcap_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : varicap_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : flash_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : intbondvia_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : intbondmet_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : devbondvia_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : devbondmet_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : devtrench_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : redist_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphbot_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphtop_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : antvia1_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : antmetal2_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphcont_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : siwg_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : siwg_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : siwg_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : sigrating_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : singrating_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphpas_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : emwind3_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : emwihv3_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : redbulay_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : smos_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphpad_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : polimide_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : polimide_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_esd has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_diode has 20 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_tsv has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_iprobe has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_diffprb has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_pillar has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_sbump has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_otp has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_pdiode has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_mom has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : recog_pcm has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : colopen_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmetal1_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmetal1_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmetal1_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmetal1_slit has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmetal1_opc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmet1l_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmet1l_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmet1l_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmet1l_slit has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphmet1l_opc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : extblock_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : nldd_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : pldd_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : next_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : pext_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : nexthv_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : pexthv_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : graphgate_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : sinwg_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : sinwg_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : sinwg_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : mempad_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topvia1_drw has 2058 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_drw has 14 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_pin has 14 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_mask has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_filler has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_nofill has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_slit has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_text has 14 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_noqrc has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_res has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_iprobe has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465096K) : topmetal1_diffprb has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465224K) : inldpwl_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465224K) : polyres_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465352K) : polyres_pin has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465352K) : vmim_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465480K) : nbulaycut_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465480K) : antmetal1_drw has 0 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465608K) : topvia2_drw has 112 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465608K) : topmetal2_drw has 16 polygons
2026-01-24 19:51:09 +0000: Memory Usage (465736K) : topmetal2_pin has 16 polygons
